PMID,Title,Authors,First Author,Journal/Book,Publication Year,Create Date
38677794,Neurological injury in pediatric heart disease: A review of developmental and acquired risk factors and management considerations,"McGetrick ME, Riviello JJ.",McGetrick ME,Semin Pediatr Neurol,2024,27-04-2024
30871827,Overview of Equine Cardiac Disease,Bonagura JD.,Bonagura JD,Vet Clin North Am Equine Pract,2019,16-03-2019
32991394,"Cardiac Manifestations of Systemic Lupus Erythematous: An Overview of the Incidence, Risk Factors, Diagnostic Criteria, Pathophysiology and Treatment Options","Zagelbaum Ward NK, Linares-Koloffon C, Posligua A, Gandrabur L, Kim WY, Sperber K, Wasserman A, Ash J.",Zagelbaum Ward NK,Cardiol Rev,2022,29-09-2020
23342410,Cardiac disease in pregnancy,"Nanda S, Nelson-Piercy C, Mackillop L.",Nanda S,Clin Med (Lond),2012,25-01-2013
23706956,Neurodevelopmental outcome in children with congenital heart disease,"Martinez-Biarge M, Jowett VC, Cowan FM, Wusthoff CJ.",Martinez-Biarge M,Semin Fetal Neonatal Med,2013,28-05-2013
19639339,Clinical practice. The impact of lung disease on the heart and cardiac disease on the lungs,"Healy F, Hanna BD, Zinman R.",Healy F,Eur J Pediatr,2010,30-07-2009
20804703,The right heart and pulmonary circulation (IX). The right heart in adults with congenital heart disease,"Alonso-González R, Dimopoulos K, Ho S, Oliver JM, Gatzoulis MA.",Alonso-González R,Rev Esp Cardiol,2010,01-09-2010
140374,Alcoholic heart disease,Welch CC.,Welch CC,Postgrad Med,1977,01-05-1977
18403616,"Depression, antidepressants and heart disease",,,Drug Ther Bull,2008,12-04-2008
10663713,Evaluation of congenital heart disease by magnetic resonance imaging,"de Roos A, Roest AA.",de Roos A,Eur Radiol,2000,09-02-2000
25198738,The Role of Beta-Blocker in Heart Failure in Adults with Congenital Heart Disease,Norozi K.,Norozi K,Rev Recent Clin Trials,2014,09-09-2014
38937034,Cardioembolic Stroke,"Yu MY, Caprio FZ, Bernstein RA.",Yu MY,Neurol Clin,2024,27-06-2024
23405838,Inspiratory muscle training in heart disease and heart failure: a review of the literature with a focus on method of training and outcomes,"Cahalin LP, Arena R, Guazzi M, Myers J, Cipriano G, Chiappa G, Lavie CJ, Forman DE.",Cahalin LP,Expert Rev Cardiovasc Ther,2013,15-02-2013
21108556,Managing adults with congenital heart disease in the catheterization laboratory: state of the art,"MacDonald ST, Carminati M, Chessa M.",MacDonald ST,Expert Rev Cardiovasc Ther,2010,27-11-2010
23890971,Pregnancy and heart disease: time for a randomized controlled trial,"Johnson M, Gatzoulis M, Roos-Hesselink J.",Johnson M,Int J Cardiol,2013,30-07-2013
24268011,Systemic sclerosis and the heart,"Parks JL, Taylor MH, Parks LP, Silver RM.",Parks JL,Rheum Dis Clin North Am,2014,26-11-2013
14076370,HEART DISEASE IN OLD AGE,MCKEOWN F.,MCKEOWN F,J Clin Pathol,1963,01-11-1963
25936835,Neonatal echocardiography,Wyllie J.,Wyllie J,Semin Fetal Neonatal Med,2015,05-05-2015
7496053,Hypertensive heart disease and the diabetic patient,"Grossman E, Rosenthal T.",Grossman E,Curr Opin Cardiol,1995,01-09-1995
25456575,Cardiac rehabilitation for people with heart disease: an overview of Cochrane systematic reviews,"Anderson LJ, Taylor RS.",Anderson LJ,Int J Cardiol,2014,03-12-2014
19926339,Peer support intervention trials for individuals with heart disease: a systematic review,"Parry M, Watt-Watson J.",Parry M,Eur J Cardiovasc Nurs,2010,21-11-2009
9447346,Pregnancy and heart disease: a review,"Thilén U, Olsson SB.",Thilén U,Eur J Obstet Gynecol Reprod Biol,1997,03-02-1998
24367618,Effect of aerobic training on heart rate recovery in patients with established heart disease; a systematic review,"Snoek JA, van Berkel S, van Meeteren N, Backx FJ, Daanen HA.",Snoek JA,PLoS One,2013,25-12-2013
15899189,[Pulmonary arterial hypertension in adults with congenital heart disease],"Bouzas B, Gatzoulis MA.",Bouzas B,Rev Esp Cardiol,2005,19-05-2005
16484627,Proteomics of the heart: unraveling disease,"McGregor E, Dunn MJ.",McGregor E,Circ Res,2006,18-02-2006
19431064,Interventional treatment of structural heart disease,"Franke J, Steinberg DH, Sievert H.",Franke J,Minim Invasive Ther Allied Technol,2009,12-05-2009
20610010,The use of NT-proBNP assay in the management of canine patients with heart disease,"Oyama MA, Singletary GE.",Oyama MA,Vet Clin North Am Small Anim Pract,2010,09-07-2010
23227849,The natriuretic peptides as biomarkers for adults with congenital heart disease,"Nir A, Luchner A, Rein AJ.",Nir A,Biomark Med,2012,12-12-2012
36795846,Modeling Heart Diseases on a Chip: Advantages and Future Opportunities,"Mourad O, Yee R, Li M, Nunes SS.",Mourad O,Circ Res,2023,16-02-2023
26440768,Cost-effectiveness of transcatheter versus surgical management of structural heart disease,"Fanari Z, Weintraub WS.",Fanari Z,Cardiovasc Revasc Med,2016,07-10-2015
15990137,Particulate matter and heart disease: evidence from epidemiological studies,Peters A.,Peters A,Toxicol Appl Pharmacol,2005,02-07-2005
28966333,Cardiopulmonary Exercise Test,Adachi H.,Adachi H,Int Heart J,2017,03-10-2017
23636477,Parenteral anticoagulants in heart disease: current status and perspectives (Section II). Position paper of the ESC Working Group on Thrombosis-Task Force on Anticoagulants in Heart Disease,"De Caterina R, Husted S, Wallentin L, Andreotti F, Arnesen H, Bachmann F, Baigent C, Huber K, Jespersen J, Kristensen SD, Lip GY, Morais J, Rasmussen LH, Siegbahn A, Verheugt FW, Weitz JI; European Society of Cardiology Working Group on Thrombosis Task Force on Anticoagulants in Heart Disease.",De Caterina R,Thromb Haemost,2013,03-05-2013
15320846,"Diabetes, the renin-angiotensin system and heart disease","Lim HS, Lip GY.",Lim HS,Curr Vasc Pharmacol,2003,24-08-2004
18005900,Long-term cardio-respiratory consequences of heart disease in childhood,"Fitzgerald DA, Sherwood M.",Fitzgerald DA,Paediatr Respir Rev,2007,17-11-2007
30866753,Acquired heart disease in children is not necessarily rheumatic,"Agarwal N, Taneja S.",Agarwal N,Trop Doct,2019,15-03-2019
22269840,[Pediatric cardiology and congenital heart disease: from fetus to adult],"Subirana MT, Oliver JM, Sáez JM, Zunzunegui JL.",Subirana MT,Rev Esp Cardiol (Engl Ed),2012,25-01-2012
22445874,Adult congenital heart disease: new challenges,"Zomer AC, Vaartjes I, Grobbee DE, Mulder BJ.",Zomer AC,Int J Cardiol,2013,27-03-2012
25900977,Future care planning: a first step to palliative care for all patients with advanced heart disease,"Denvir MA, Murray SA, Boyd KJ.",Denvir MA,Heart,2015,23-04-2015
16132245,[Stress and heart disease in women],"Büchner B, Kleiber C, Stanske B, Herrmann-Lingen C.",Büchner B,Herz,2005,01-09-2005
7787268,Advances in acquired pediatric heart disease,"Bezold LI, Bricker JT.",Bezold LI,Curr Opin Cardiol,1995,01-01-1995
17786230,MicroRNAs: powerful new regulators of heart disease and provocative therapeutic targets,"van Rooij E, Olson EN.",van Rooij E,J Clin Invest,2007,06-09-2007
18046200,Women and heart disease: what's new?,"Cheek D, Sherrod M, Tester J.",Cheek D,Nursing,2007,06-12-2007
26621333,Therapy for ventricular arrhythmias in structural heart disease: a multifaceted challenge,"Proietti R, Joza J, Essebag V.",Proietti R,J Physiol,2016,02-12-2015
9823391,Heart disease during pregnancy. Which cardiovascular changes reflect disease?,Villablanca AC.,Villablanca AC,Postgrad Med,1998,21-11-1998
18459466,The constellation of hypertensive heart disease,"Pavlopoulos H, Nihoyannopoulos P.",Pavlopoulos H,Hellenic J Cardiol,2008,08-05-2008
15746589,"Heart disease and prevention: race and age differences in heart disease prevention, treatment, and mortality","Holmes JS, Arispe IE, Moy E.",Holmes JS,Med Care,2005,05-03-2005
26376419,[Patients with chronic obstructive pulmonary disease and heart disease can benefit from beta-blocker treatment],"Rasmussen DB, Lange P, Jensen MT.",Rasmussen DB,Ugeskr Laeger,2015,17-09-2015
19250867,Population screening for heart disease in vulnerable populations: lessons from the Heart of Soweto Study,Stewart S.,Stewart S,Heart Lung Circ,2009,03-03-2009
14667481,Perceptions and experiences of heart disease: a literature review and identification of a research agenda in older women,"Davidson PM, Daly J, Hancock K, Moser D, Chang E, Cockburn J.",Davidson PM,Eur J Cardiovasc Nurs,2003,12-12-2003
28325177,Equine Cardiovascular Therapeutics,Sleeper MM.,Sleeper MM,Vet Clin North Am Equine Pract,2017,23-03-2017
18249226,"Gender differences in knowledge, attitudes, and beliefs about heart disease","Jensen LA, Moser DK.",Jensen LA,Nurs Clin North Am,2008,06-02-2008
24029883,Women and heart disease,Odle TG.,Odle TG,Radiol Technol,2013,14-09-2013
2671277,AIDS-related heart disease: a review of the literature,Nyamathi A.,Nyamathi A,J Cardiovasc Nurs,1989,01-08-1989
7503130,Trends in heart disease in the United States,Feinleib M.,Feinleib M,Am J Med Sci,1995,01-12-1995
38149311,Heart disease symptoms and health-related quality of life in pediatric heart transplant recipients: A serial multiple mediator analysis,"Varni JW, Uzark K.",Varni JW,Pediatr Transplant,2024,27-12-2023
